hospital,canton,delivery,year,cases_c-section,cases_kidney,Reg,Uni,percentage_c-section
Asana Spital Menziken AG,AG,62,2018,20.0,,AL,0,0.3225806451612903
Geburtshaus ambra GmbH,BL,56,2018,,,AL,0,
Genossenschaft Geburtshaus Simmental-Saaneland MaternitÃ© Alpine,BE,45,2018,,,AL,0,
Geburtshaus Tagmond GmbH,BL,43,2018,,,AL,0,
Maison de Naissance Tilia SÃ rl,NE,31,2018,,,RO,0,
Centro Sanitario Valposchiavo Ospedale San Sisto,GR,29,2018,12.0,,AL,0,0.41379310344827586
Maison de naissance Les Cigognes,JU,22,2018,,,RO,0,
Geburtshaus Basel,BS,5,2018,,,AL,0,
Ita Wegman Geburtshaus,BL,2,2018,,,AL,0,
Nouvelle Clinique Vert-PrÃ©,GE,1,2018,,,RO,0,
Les HÃ´pitaux Universitaires de GenÃ¨ve HUG,GE,4149,2019,1054.0,38.0,RO,1,0.25403711737768137
LUKS Spitalbetriebe AG,LU,3228,2019,1097.0,,AL,0,0.33983890954151175
CHUV Centre Hospitalier Universitaire Vaudois,VD,3121,2019,905.0,58.0,RO,1,0.2899711630887536
UniversitÃ¤tsspital ZÃ¼rich,ZH,2771,2019,1212.0,86.0,AL,1,0.4373872248285817
UniversitÃ¤tsspital Basel,BS,2713,2019,945.0,76.0,AL,1,0.3483228897899005
Spital Thurgau AG KantonsspitÃ¤ler Frauenfeld & MÃ¼nsterlingen,TG,2366,2019,655.0,,AL,0,0.2768385460693153
Spital Zollikerberg,ZH,2168,2019,823.0,,AL,0,0.37961254612546125
Stadtspital Triemli,ZH,2099,2019,788.0,,AL,0,0.37541686517389233
Lindenhofgruppe AG,BE,2080,2019,720.0,,AL,0,0.34615384615384615
Kantonsspital Aarau AG,AG,2023,2019,608.0,,AL,0,0.30054374691052893
Kantonsspital St. Gallen,SG,1966,2019,703.0,18.0,AL,0,0.3575788402848423
HÃ´pital Riviera-Chablais Vaud-Valais,VD,1908,2019,480.0,,RO,0,0.25157232704402516
Bethesda Spital AG,BS,1874,2019,709.0,,AL,0,0.3783351120597652
Insel Gruppe AG (universitÃ¤r),BE,1850,2019,830.0,56.0,AL,1,0.4486486486486487
Kantonsspital Winterthur,ZH,1708,2019,581.0,,AL,0,0.3401639344262295
Solothurner SpitÃ¤ler AG,SO,1666,2019,500.0,,AL,0,0.30012004801920766
Kantonsspital Baden AG,AG,1644,2019,565.0,,AL,0,0.34367396593673966
HÃ´pital du Valais Centre hospitalier du Valais Romand CHVR,VS,1614,2019,366.0,,RO,0,0.22676579925650558
EOC Ente ospedaliero cantonale,TI,1609,2019,437.0,,RO,0,0.271597265382225
HÃ´pital Jules Daler,FR,1528,2019,446.0,,RO,0,0.2918848167539267
EHC Ensemble hospitalier de la CÃ´te,VD,1414,2019,374.0,,RO,0,0.26449787835926447
RÃ©seau hospitalier neuchÃ¢telois RHNe,NE,1388,2019,372.0,,RO,0,0.2680115273775216
Spital BÃ¼lach AG,ZH,1340,2019,431.0,,AL,0,0.32164179104477614
Spital STS AG,BE,1131,2019,292.0,,AL,0,0.2581786030061892
Spitalverbund Appenzell Ausserrhoden,AR,1069,2019,272.0,,AL,0,0.25444340505144997
Spitalregion Rheintal Werdenberg Sarganserland,SG,1068,2019,259.0,,AL,0,0.24250936329588016
Hirslanden Bern AG,BE,1039,2019,358.0,,AL,0,0.34456207892204044
HFR - HÃ´pital fribourgeois,FR,1032,2019,307.0,,RO,0,0.29748062015503873
Kantonsspital GraubÃ¼nden,GR,1026,2019,382.0,,AL,0,0.3723196881091618
Spital Limmattal,ZH,1017,2019,336.0,,AL,0,0.3303834808259587
Etablissements Hospitaliers du Nord Vaudois (eHnv),VD,993,2019,266.0,,RO,0,0.2678751258811682
Zuger Kantonsspital AG,ZG,984,2019,282.0,,AL,0,0.2865853658536585
Spitalzentrum Biel AG,BE,884,2019,191.0,,AL,0,0.2160633484162896
Spital Uster,ZH,856,2019,269.0,,AL,0,0.3142523364485981
Klinik Hirslanden AG,ZH,839,2019,478.0,,AL,0,0.5697258641239571
GZO Spital Wetzikon,ZH,822,2019,261.0,,AL,0,0.3175182481751825
SpitÃ¤ler Schaffhausen,SH,813,2019,265.0,,AL,0,0.32595325953259535
Clinique des Grangettes SA,GE,803,2019,323.0,,RO,0,0.40224159402241594
Asana Spital Leuggern AG,AG,773,2019,226.0,,AL,0,0.2923673997412678
Hirslanden Klinik St. Anna AG,LU,757,2019,275.0,,AL,0,0.3632760898282695
Hirslanden Klinik Linde AG,BE,749,2019,261.0,,AL,0,0.3484646194926569
Regionalspital Emmental AG,BE,719,2019,192.0,,AL,0,0.2670375521557719
See-Spital,ZH,718,2019,265.0,,AL,0,0.36908077994428967
Hirslanden Klinik Stephanshorn,SG,704,2019,318.0,,AL,0,0.45170454545454547
Swiss Medical Network Hospitals SA Clinica Sant'Anna,TI,704,2019,271.0,,RO,0,0.3849431818181818
Hirslanden Klinik Aarau,AG,696,2019,304.0,,AL,0,0.4367816091954023
Clinique GÃ©nÃ©rale-Beaulieu,GE,688,2019,234.0,,RO,0,0.34011627906976744
SRO AG,BE,673,2019,209.0,,AL,0,0.31054977711738485
Spital Wallis - Spitalzentrum Oberwallis (SZO),VS,671,2019,196.0,,RO,0,0.29210134128166915
HÃ´pital du Jura,JU,631,2019,139.0,,RO,0,0.2202852614896989
Spitalregion FÃ¼rstenland Toggenburg,SG,614,2019,178.0,,AL,0,0.2899022801302932
HÃ´pital Intercantonal de la Broye (HIB),VD,582,2019,122.0,,RO,0,0.20962199312714777
Spital MÃ¤nnedorf AG,ZH,576,2019,160.0,,AL,0,0.2777777777777778
Stiftung Spital Muri,AG,572,2019,145.0,,AL,0,0.2534965034965035
Spital Nidwalden AG,NW,571,2019,173.0,,AL,0,0.30297723292469353
SpitÃ¤ler Frutigen Meiringen Interlaken AG,BE,571,2019,187.0,,AL,0,0.3274956217162872
Groupement Hospitalier de l'Ouest LÃ©manique (GHOL) SA,VD,540,2019,140.0,,RO,0,0.25925925925925924
Kantonsspital Baselland,BL,493,2019,120.0,,AL,0,0.2434077079107505
GSMN Schweiz AG Privatklinik Bethanien,ZH,486,2019,265.0,,AL,0,0.5452674897119342
Spital Lachen,SZ,483,2019,158.0,,AL,0,0.32712215320910976
Klinik Im Park,ZH,474,2019,247.0,,AL,0,0.5210970464135021
HÃ´pital de la Tour,GE,474,2019,175.0,,RO,0,0.3691983122362869
Gesundheitszentrum Fricktal,AG,457,2019,165.0,,AL,0,0.3610503282275711
Hirslanden Lausanne SA,VD,430,2019,200.0,,RO,0,0.46511627906976744
Spital Schwyz,SZ,421,2019,95.0,,AL,0,0.22565320665083136
Andreas Klinik,ZG,418,2019,236.0,,AL,0,0.5645933014354066
Insel Gruppe AG (nicht-universitÃ¤r),BE,406,2019,179.0,,AL,0,0.4408866995073892
Paracelsus-Spital Richterswil AG,ZH,404,2019,94.0,,AL,0,0.23267326732673269
Spital Linth,SG,381,2019,74.0,,AL,0,0.1942257217847769
HÃ´pital du Jura bernois SA,BE,357,2019,94.0,,AL,0,0.26330532212885155
Kantonsspital Glarus,GL,344,2019,120.0,,AL,0,0.3488372093023256
Clinique de La Source,VD,325,2019,135.0,,RO,0,0.4153846153846154
Geburtshaus ZÃ¼rcher Oberland AG,ZH,296,2019,,,AL,0,
Geburtshaus Terra Alta,LU,294,2019,,,AL,0,
Kantonsspital Uri,UR,280,2019,61.0,,AL,0,0.21785714285714286
Geburtshaus Luna AG,BE,278,2019,,,AL,0,
Kantonsspital Obwalden,OW,276,2019,53.0,,AL,0,0.19202898550724637
Spital Affoltern AG,ZH,262,2019,75.0,,AL,0,0.2862595419847328
AMEOS Spital Einsiedeln AG,SZ,249,2019,74.0,,AL,0,0.2971887550200803
Clinica Luganese Moncucco SA Clinica Santa Chiara SA,TI,229,2019,79.0,,RO,0,0.34497816593886466
Geburtshaus Delphys,ZH,190,2019,,,AL,0,
Flury Stiftung Spital Schiers,GR,174,2019,72.0,,AL,0,0.41379310344827586
Spital Oberengadin,GR,160,2019,37.0,,AL,0,0.23125
Spital Thusis,GR,145,2019,33.0,,AL,0,0.22758620689655173
Regionalspital Surselva AG,GR,145,2019,43.0,,AL,0,0.296551724137931
Geburtshaus St.Gallen GmbH,SG,133,2019,,,AL,0,
Geburtshus StorchenÃ¤scht AG,AG,129,2019,,,AL,0,
Maison de Naissance le Petit Prince,FR,110,2019,,,RO,0,
Spital Davos AG Akutabteilung,GR,109,2019,42.0,,AL,0,0.3853211009174312
Maison de naissance La Roseraie,GE,106,2019,,,RO,0,
Geburtshaus Stans,NW,67,2019,,,AL,0,
Geburtshaus ambra GmbH,BL,53,2019,,,AL,0,
Matthea Geburtshaus,BS,52,2019,,,AL,0,
Genossenschaft Geburtshaus Simmental-Saaneland MaternitÃ© Alpine,BE,52,2019,,,AL,0,
Geburtshaus Tagmond GmbH,BL,47,2019,,,AL,0,
Maison de Naissance Tilia SÃ rl,NE,42,2019,,,RO,0,
Center da Sanda Engiadina Bassa Ospidal d'Engiadina Bassa,GR,39,2019,14.0,,AL,0,0.358974358974359
Centro Sanitario Valposchiavo Ospedale San Sisto,GR,27,2019,12.0,,AL,0,0.4444444444444444
Maison de naissance Les Cigognes,JU,18,2019,,,RO,0,
Center da Sanadad Savognin SA,GR,1,2019,,,AL,0,
Clinique la Colline,GE,1,2019,,,RO,0,
Les HÃ´pitaux Universitaires de GenÃ¨ve HUG,GE,3914,2020,981.0,21.0,RO,1,0.2506387327542156
LUKS Spitalbetriebe AG,LU,3204,2020,1228.0,,AL,0,0.383270911360799
CHUV Centre Hospitalier Universitaire Vaudois,VD,3060,2020,774.0,41.0,RO,1,0.2529411764705882
UniversitÃ¤tsspital ZÃ¼rich,ZH,2582,2020,1222.0,97.0,AL,1,0.47327652982184354
UniversitÃ¤tsspital Basel,BS,2517,2020,928.0,63.0,AL,1,0.3686928883591577
Spital Zollikerberg,ZH,2322,2020,947.0,,AL,0,0.4078380706287683
Spital Thurgau AG KantonsspitÃ¤ler Frauenfeld & MÃ¼nsterlingen,TG,2311,2020,605.0,,AL,0,0.2617914322803981
Stadtspital Triemli,ZH,2239,2020,833.0,,AL,0,0.3720410897722197
Kantonsspital Aarau AG,AG,2148,2020,659.0,,AL,0,0.30679702048417135
Kantonsspital St. Gallen,SG,1988,2020,680.0,12.0,AL,0,0.3420523138832998
Bethesda Spital AG,BS,1873,2020,646.0,,AL,0,0.3449012279765083
Insel Gruppe AG (universitÃ¤r),BE,1839,2020,813.0,59.0,AL,1,0.44208809135399674
Lindenhofgruppe AG,BE,1819,2020,674.0,,AL,0,0.37053326003298515
HÃ´pital Riviera-Chablais Vaud-Valais,VD,1777,2020,452.0,,RO,0,0.2543612830613393
Kantonsspital Winterthur,ZH,1683,2020,565.0,,AL,0,0.33571004159239454
HÃ´pital du Valais Centre hospitalier du Valais Romand CHVR,VS,1624,2020,403.0,1.0,RO,0,0.2481527093596059
Kantonsspital Baden AG,AG,1608,2020,492.0,,AL,0,0.30597014925373134
Solothurner SpitÃ¤ler AG,SO,1593,2020,478.0,,AL,0,0.30006277463904585
HÃ´pital Jules Daler,FR,1496,2020,423.0,,RO,0,0.2827540106951872
EHC Ensemble hospitalier de la CÃ´te,VD,1459,2020,386.0,,RO,0,0.26456477039067855
EOC Ente ospedaliero cantonale,TI,1410,2020,414.0,,RO,0,0.2936170212765957
Spital BÃ¼lach AG,ZH,1344,2020,435.0,,AL,0,0.3236607142857143
RÃ©seau hospitalier neuchÃ¢telois RHNe,NE,1329,2020,364.0,,RO,0,0.27389014296463504
Hirslanden Bern AG,BE,1201,2020,432.0,,AL,0,0.3597002497918401
Kantonsspital GraubÃ¼nden,GR,1164,2020,392.0,,AL,0,0.33676975945017185
Spital STS AG,BE,1100,2020,297.0,,AL,0,0.27
Spitalverbund Appenzell Ausserrhoden,AR,1063,2020,241.0,,AL,0,0.22671683913452492
Spital Limmattal,ZH,1057,2020,358.0,,AL,0,0.3386944181646168
Zuger Kantonsspital AG,ZG,983,2020,298.0,,AL,0,0.3031536113936928
HFR - HÃ´pital fribourgeois,FR,954,2020,270.0,,RO,0,0.2830188679245283
Spitalregion Rheintal Werdenberg Sarganserland,SG,922,2020,223.0,,AL,0,0.2418655097613883
Etablissements Hospitaliers du Nord Vaudois (eHnv),VD,912,2020,270.0,,RO,0,0.29605263157894735
Clinique des Grangettes SA,GE,887,2020,368.0,,RO,0,0.41488162344983087
Klinik Hirslanden AG,ZH,887,2020,507.0,,AL,0,0.5715896279594137
Spitalzentrum Biel AG,BE,847,2020,194.0,,AL,0,0.22904368358913813
SpitÃ¤ler Schaffhausen,SH,801,2020,288.0,,AL,0,0.3595505617977528
GZO Spital Wetzikon,ZH,795,2020,248.0,,AL,0,0.3119496855345912
Spital Uster,ZH,781,2020,216.0,,AL,0,0.2765685019206146
Hirslanden Klinik St. Anna AG,LU,770,2020,285.0,,AL,0,0.37012987012987014
Hirslanden Klinik Linde AG,BE,758,2020,258.0,,AL,0,0.3403693931398417
Swiss Medical Network Hospitals SA Clinica Sant'Anna,TI,747,2020,285.0,,RO,0,0.3815261044176707
Hirslanden Klinik Aarau,AG,740,2020,322.0,,AL,0,0.43513513513513513
Asana Spital Leuggern AG,AG,718,2020,202.0,,AL,0,0.28133704735376047
Hirslanden Klinik Stephanshorn,SG,709,2020,331.0,,AL,0,0.46685472496473907
Spital Wallis - Spitalzentrum Oberwallis (SZO),VS,709,2020,218.0,,RO,0,0.307475317348378
Regionalspital Emmental AG,BE,691,2020,183.0,,AL,0,0.26483357452966716
See-Spital,ZH,686,2020,271.0,,AL,0,0.39504373177842567
Clinique GÃ©nÃ©rale-Beaulieu,GE,677,2020,225.0,,RO,0,0.33234859675036926
SRO AG,BE,656,2020,196.0,,AL,0,0.29878048780487804
HÃ´pital du Jura,JU,636,2020,146.0,,RO,0,0.22955974842767296
Stiftung Spital Muri,AG,633,2020,209.0,,AL,0,0.330173775671406
Spital Nidwalden AG,NW,604,2020,204.0,,AL,0,0.33774834437086093
HÃ´pital Intercantonal de la Broye (HIB),VD,595,2020,133.0,,RO,0,0.2235294117647059
Kantonsspital Baselland,BL,569,2020,162.0,,AL,0,0.28471001757469244
Spitalregion FÃ¼rstenland Toggenburg,SG,557,2020,173.0,,AL,0,0.3105924596050269
Spital MÃ¤nnedorf AG,ZH,553,2020,147.0,,AL,0,0.26582278481012656
SpitÃ¤ler Frutigen Meiringen Interlaken AG,BE,553,2020,186.0,,AL,0,0.33634719710669075
Groupement Hospitalier de l'Ouest LÃ©manique (GHOL) SA,VD,523,2020,162.0,,RO,0,0.30975143403441685
GSMN Schweiz AG Privatklinik Bethanien,ZH,501,2020,282.0,,AL,0,0.562874251497006
HÃ´pital de la Tour,GE,490,2020,169.0,,RO,0,0.3448979591836735
Andreas Klinik,ZG,485,2020,268.0,,AL,0,0.5525773195876289
Spital Lachen,SZ,484,2020,166.0,,AL,0,0.34297520661157027
Klinik Im Park,ZH,475,2020,233.0,,AL,0,0.4905263157894737
Hirslanden Lausanne SA,VD,464,2020,195.0,,RO,0,0.4202586206896552
Spital Schwyz,SZ,453,2020,109.0,,AL,0,0.24061810154525387
Gesundheitszentrum Fricktal,AG,432,2020,163.0,,AL,0,0.3773148148148148
Spital Linth,SG,409,2020,130.0,,AL,0,0.31784841075794623
Insel Gruppe AG (nicht-universitÃ¤r),BE,405,2020,176.0,,AL,0,0.4345679012345679
HÃ´pital du Jura bernois SA,BE,393,2020,95.0,,AL,0,0.24173027989821882
Paracelsus-Spital Richterswil AG,ZH,355,2020,99.0,,AL,0,0.27887323943661974
Clinica Luganese Moncucco SA Clinica Santa Chiara SA,TI,339,2020,129.0,,RO,0,0.3805309734513274
Clinique de La Source,VD,332,2020,134.0,,RO,0,0.4036144578313253
Kantonsspital Glarus,GL,314,2020,94.0,,AL,0,0.29936305732484075
Geburtshaus Luna AG,BE,314,2020,,,AL,0,
Kantonsspital Obwalden,OW,308,2020,70.0,,AL,0,0.22727272727272727
Geburtshaus Terra Alta,LU,273,2020,,,AL,0,
Kantonsspital Uri,UR,269,2020,68.0,,AL,0,0.2527881040892193
AMEOS Spital Einsiedeln AG,SZ,251,2020,85.0,,AL,0,0.3386454183266932
Geburtshaus St.Gallen GmbH,SG,241,2020,,,AL,0,
Geburtshaus ZÃ¼rcher Oberland AG,ZH,233,2020,,,AL,0,
Geburtshaus Delphys,ZH,196,2020,,,AL,0,
Flury Stiftung Spital Schiers,GR,185,2020,64.0,,AL,0,0.34594594594594597
Spital Thusis,GR,165,2020,30.0,,AL,0,0.18181818181818182
Spital Oberengadin,GR,142,2020,43.0,,AL,0,0.3028169014084507
Regionalspital Surselva AG,GR,139,2020,28.0,,AL,0,0.2014388489208633
Maison de Naissance le Petit Prince,FR,125,2020,,,RO,0,
Maison de naissance La Roseraie,GE,102,2020,,,RO,0,
Spital Davos AG Akutabteilung,GR,97,2020,36.0,,AL,0,0.3711340206185567
Geburtshaus Stans,NW,66,2020,,,AL,0,
Matthea Geburtshaus,BS,65,2020,,,AL,0,
Geburtshaus ambra GmbH,BL,59,2020,,,AL,0,
Center da Sanda Engiadina Bassa Ospidal d'Engiadina Bassa,GR,50,2020,16.0,,AL,0,0.32
Genossenschaft Geburtshaus Simmental-Saaneland MaternitÃ© Alpine,BE,41,2020,,,AL,0,
Geburtshaus Tagmond GmbH,BL,33,2020,,,AL,0,
Maison de Naissance Tilia SÃ rl,NE,30,2020,,,RO,0,
Maison de naissance Les Cigognes,JU,20,2020,,,RO,0,
Centro Sanitario Valposchiavo Ospedale San Sisto,GR,19,2020,10.0,,AL,0,0.5263157894736842
Spital Zofingen AG,AG,1,2020,,,AL,0,
Les HÃ´pitaux Universitaires de GenÃ¨ve HUG,GE,4049,2021,1054.0,68.0,RO,1,0.2603111879476414
LUKS Spitalbetriebe AG,LU,3255,2021,1167.0,,AL,0,0.3585253456221198
CHUV Centre Hospitalier Universitaire Vaudois,VD,3060,2021,741.0,62.0,RO,1,0.24215686274509804
UniversitÃ¤tsspital Basel,BS,2663,2021,987.0,78.0,AL,1,0.3706346226060834
UniversitÃ¤tsspital ZÃ¼rich,ZH,2643,2021,1253.0,81.0,AL,1,0.47408248202799846
Spital Zollikerberg,ZH,2431,2021,987.0,,AL,0,0.4060057589469354
Spital Thurgau AG KantonsspitÃ¤ler Frauenfeld & MÃ¼nsterlingen,TG,2430,2021,640.0,,AL,0,0.26337448559670784
Stadtspital Triemli,ZH,2336,2021,869.0,,AL,0,0.3720034246575342
Kantonsspital Aarau AG,AG,2313,2021,726.0,,AL,0,0.3138780804150454
Insel Gruppe AG (universitÃ¤r),BE,2141,2021,965.0,50.0,AL,1,0.4507239607659972
Kantonsspital St. Gallen,SG,2040,2021,706.0,23.0,AL,0,0.346078431372549
Bethesda Spital AG,BS,1985,2021,671.0,,AL,0,0.3380352644836272
HÃ´pital Riviera-Chablais Vaud-Valais,VD,1971,2021,465.0,,RO,0,0.2359208523592085
Kantonsspital Winterthur,ZH,1813,2021,581.0,,AL,0,0.3204633204633205
Kantonsspital Baden AG,AG,1808,2021,596.0,,AL,0,0.32964601769911506
Lindenhofgruppe AG,BE,1774,2021,655.0,,AL,0,0.3692220969560316
Solothurner SpitÃ¤ler AG,SO,1689,2021,565.0,,AL,0,0.3345174659561871
HÃ´pital du Valais Centre hospitalier du Valais Romand CHVR,VS,1644,2021,401.0,,RO,0,0.24391727493917276
EHC Ensemble hospitalier de la CÃ´te,VD,1618,2021,426.0,,RO,0,0.26328800988875156
HÃ´pital Jules Daler,FR,1609,2021,445.0,,RO,0,0.27656929770043504
EOC Ente ospedaliero cantonale,TI,1431,2021,423.0,,RO,0,0.29559748427672955
Spital BÃ¼lach AG,ZH,1394,2021,464.0,,AL,0,0.3328550932568149
RÃ©seau hospitalier neuchÃ¢telois RHNe,NE,1368,2021,404.0,,RO,0,0.2953216374269006
Hirslanden Bern AG,BE,1247,2021,498.0,,AL,0,0.3993584603047314
Kantonsspital GraubÃ¼nden,GR,1245,2021,453.0,,AL,0,0.363855421686747
Spital STS AG,BE,1159,2021,347.0,,AL,0,0.2993960310612597
HFR - HÃ´pital fribourgeois,FR,1089,2021,305.0,,RO,0,0.2800734618916437
Spitalregion Rheintal Werdenberg Sarganserland,SG,1083,2021,273.0,,AL,0,0.2520775623268698
Klinik Hirslanden AG,ZH,1081,2021,604.0,,AL,0,0.5587419056429233
Zuger Kantonsspital AG,ZG,1020,2021,348.0,,AL,0,0.3411764705882353
Spital Limmattal,ZH,1019,2021,329.0,,AL,0,0.3228655544651619
Spitalverbund Appenzell Ausserrhoden,AR,973,2021,248.0,,AL,0,0.25488180883864336
Spitalzentrum Biel AG,BE,966,2021,243.0,,AL,0,0.2515527950310559
Etablissements Hospitaliers du Nord Vaudois (eHnv),VD,925,2021,298.0,,RO,0,0.32216216216216215
GZO Spital Wetzikon,ZH,869,2021,287.0,,AL,0,0.3302646720368239
Spital Uster,ZH,864,2021,270.0,,AL,0,0.3125
Hirslanden Klinik St. Anna AG,LU,855,2021,281.0,,AL,0,0.3286549707602339
See-Spital,ZH,844,2021,323.0,,AL,0,0.38270142180094785
SpitÃ¤ler Schaffhausen,SH,813,2021,294.0,,AL,0,0.36162361623616235
Swiss Medical Network Hospitals SA Clinica Sant'Anna,TI,807,2021,296.0,,RO,0,0.3667905824039653
Hirslanden Klinik Stephanshorn,SG,806,2021,401.0,,AL,0,0.4975186104218362
Hirslanden Klinik Aarau,AG,806,2021,350.0,,AL,0,0.43424317617866004
Regionalspital Emmental AG,BE,798,2021,212.0,,AL,0,0.2656641604010025
Clinique des Grangettes SA,GE,784,2021,297.0,,RO,0,0.3788265306122449
Asana Spital Leuggern AG,AG,769,2021,200.0,,AL,0,0.26007802340702213
Hirslanden Klinik Linde AG,BE,756,2021,292.0,,AL,0,0.3862433862433862
Clinique GÃ©nÃ©rale-Beaulieu,GE,722,2021,258.0,,RO,0,0.3573407202216066
Spital Wallis - Spitalzentrum Oberwallis (SZO),VS,715,2021,246.0,,RO,0,0.34405594405594403
Stiftung Spital Muri,AG,677,2021,227.0,,AL,0,0.3353028064992615
SRO AG,BE,659,2021,213.0,,AL,0,0.3232169954476479
Spital Nidwalden AG,NW,647,2021,203.0,,AL,0,0.31375579598145287
Groupement Hospitalier de l'Ouest LÃ©manique (GHOL) SA,VD,646,2021,197.0,,RO,0,0.30495356037151705
HÃ´pital Intercantonal de la Broye (HIB),VD,635,2021,155.0,,RO,0,0.2440944881889764
HÃ´pital du Jura,JU,627,2021,148.0,,RO,0,0.23604465709728867
SpitÃ¤ler Frutigen Meiringen Interlaken AG,BE,612,2021,224.0,,AL,0,0.3660130718954248
Spital MÃ¤nnedorf AG,ZH,577,2021,158.0,,AL,0,0.2738301559792028
Kantonsspital Baselland,BL,555,2021,184.0,,AL,0,0.33153153153153153
Spital Lachen,SZ,544,2021,189.0,,AL,0,0.3474264705882353
Spitalregion FÃ¼rstenland Toggenburg,SG,540,2021,173.0,,AL,0,0.32037037037037036
Klinik Im Park,ZH,529,2021,290.0,,AL,0,0.5482041587901701
HÃ´pital de la Tour,GE,522,2021,169.0,,RO,0,0.32375478927203066
Andreas Klinik,ZG,509,2021,286.0,,AL,0,0.5618860510805501
GSMN Schweiz AG Privatklinik Bethanien,ZH,509,2021,286.0,,AL,0,0.5618860510805501
Gesundheitszentrum Fricktal,AG,479,2021,182.0,,AL,0,0.37995824634655534
Spital Linth,SG,446,2021,113.0,,AL,0,0.2533632286995516
Spital Schwyz,SZ,445,2021,129.0,,AL,0,0.2898876404494382
Hirslanden Lausanne SA,VD,409,2021,181.0,,RO,0,0.44254278728606355
HÃ´pital du Jura bernois SA,BE,401,2021,122.0,,AL,0,0.30423940149625933
Clinique de La Source,VD,379,2021,146.0,,RO,0,0.38522427440633245
Geburtshaus Luna AG,BE,346,2021,,,AL,0,
Kantonsspital Uri,UR,338,2021,96.0,,AL,0,0.28402366863905326
AMEOS Spital Einsiedeln AG,SZ,332,2021,116.0,,AL,0,0.3493975903614458
Kantonsspital Glarus,GL,331,2021,96.0,,AL,0,0.29003021148036257
Clinica Luganese Moncucco SA Clinica Santa Chiara SA,TI,304,2021,118.0,,RO,0,0.3881578947368421
Geburtshaus ZÃ¼rcher Oberland AG,ZH,276,2021,,,AL,0,
Geburtshaus Terra Alta,LU,267,2021,,,AL,0,
Insel Gruppe AG (nicht-universitÃ¤r),BE,266,2021,131.0,,AL,0,0.4924812030075188
Kantonsspital Obwalden,OW,258,2021,66.0,,AL,0,0.2558139534883721
Geburtshaus St.Gallen GmbH,SG,240,2021,,,AL,0,
Flury Stiftung Spital Schiers,GR,222,2021,71.0,,AL,0,0.31981981981981983
Geburtshaus Delphys,ZH,216,2021,,,AL,0,
Spital Oberengadin,GR,174,2021,47.0,,AL,0,0.27011494252873564
Regionalspital Surselva AG,GR,158,2021,38.0,,AL,0,0.24050632911392406
Spital Thusis,GR,138,2021,42.0,,AL,0,0.30434782608695654
Maison de Naissance le Petit Prince,FR,126,2021,,,RO,0,
Maison de naissance La Roseraie,GE,108,2021,,,RO,0,
Spital Davos AG Akutabteilung,GR,94,2021,31.0,,AL,0,0.32978723404255317
Geburtshaus Stans,NW,81,2021,,,AL,0,
Matthea Geburtshaus,BS,76,2021,,,AL,0,
Genossenschaft Geburtshaus Simmental-Saaneland MaternitÃ© Alpine,BE,62,2021,,,AL,0,
Geburtshaus ambra GmbH,BL,58,2021,,,AL,0,
Geburtshaus Tagmond GmbH,BL,43,2021,,,AL,0,
Center da Sanda Engiadina Bassa Ospidal d'Engiadina Bassa,GR,41,2021,14.0,,AL,0,0.34146341463414637
Maison de naissance Les Cigognes,JU,35,2021,,,RO,0,
Maison de Naissance Tilia SÃ rl,NE,32,2021,,,RO,0,
Asana Spital Menziken AG,AG,1,2021,,,AL,0,
